Geographic code,Geographic name,Geographic type,"Geographic name, Province or territory","Geographic code, Province or territory",Global non-response rate,Data quality flag,Household type,"Number of households, 2006","Number of households, 2016","Median household total income (2015 constant dollars), 2005","Median household total income (2015 constant dollars), 2015","Median household total income (2015 constant dollars), % change","Median household after-tax income (2015 constant dollars), 2005","Median household after-tax income (2015 constant dollars), 2015","Median household after-tax income (2015 constant dollars), % change"
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,0,Total – Household type including census family structure,97015,112620,57667,74676,29.5,49750,64504,29.7
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,0,  Census-family households,71960,78825,69720,96124,37.9,59713,81486,36.5
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,0,    Households consisting of only one census family without additional persons,66250,73020,68837,94566,37.4,58715,80012,36.3
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,0,"      One couple, with or without children in their census family",55845,62425,75936,103866,36.8,63975,86949,35.9
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,0,"        One couple, without children in their census family",24275,32085,60122,80364,33.7,51361,69026,34.4
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,0,"        One couple, with children in their census family",31565,30335,89123,130411,46.3,74632,107194,43.6
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,0,      One lone-parent census family,10410,10600,36446,47521,30.4,34488,44378,28.7
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,0,    Other census-family households,5710,5805,80606,113698,41.1,72202,99448,37.7
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,0,  Non-census-family households,25055,33795,26818,36060,34.5,24492,32578,33
1002,Division No.  2,Census division,Newfoundland and Labrador,10,4.2,0,Total – Household type including census family structure,8710,8735,47391,60912,28.5,42664,54629,28
1002,Division No.  2,Census division,Newfoundland and Labrador,10,4.2,0,  Census-family households,6985,6580,55498,78635,41.7,48717,68038,39.7
1002,Division No.  2,Census division,Newfoundland and Labrador,10,4.2,0,    Households consisting of only one census family without additional persons,6500,6240,54094,76814,42,47633,66676,40